"","Learner","Screen*"
"1","SL.mean","all"
"2","SL.glmnet.0","all"
"3","SL.glmnet.1","all"
"4","SL.xgboost.2.no","all"
"5","SL.xgboost.4.no","all"
"6","SL.xgboost.2.yes","all"
"7","SL.xgboost.4.yes","all"
"8","SL.ranger.yes","all"
"9","SL.ranger.no","all"
"10","SL.glm","all"
"11","SL.glm","glmnet"
"12","SL.glm","univar_logistic_pval"
"13","SL.glm","highcor_random"
