"","risk","CI_lower","thresh_est","CI_upper"
"1",0.001,4.03859508958293,4.40502526034619,4.77145543110945
"2",0.0016,3.87437147144916,4.24278529168937,4.61119911192957
"3",0.0023,3.73710665202622,4.10254206641909,4.46797748081197
"4",0.0029,3.7392459998516,4.01782842010989,4.29641084036818
"5",0.0035,3.65711653182625,3.94930096903788,4.2414854062495
"6",0.0041,3.53770732790841,3.87899168992142,4.22027605193442
"7",0.0048,3.36147649311739,3.7840193348956,4.20656217667381
"8",0.0054,3.12036003848626,3.68208037564325,4.24380071280024
"9",0.006,2.48854678445194,3.55310393251181,4.61766108057167
"10",0.0067,1.86410774150973,2.89835339370376,3.93259904589778
"11",0.0073,2.09673943390571,2.76611329206275,3.43548715021979
"12",0.0079,1.38745378641909,2.6218165996524,3.8561794128857
"13",0.0086,-0.198796783782,1.85672172370214,3.91224023118629
"14",0.0092,-0.465186511438346,1.57467771545496,3.61454194234827
"15",0.0098,-2.30548420465878,0.961915523494616,4.22931525164801
