"","risk","CI_lower","thresh_est","CI_upper"
"1",0.001,3.47623543878098,4.60674254398707,5.73724964919316
"2",0.0013,3.27783202328666,4.40833912849276,5.53884623369885
"3",0.0017,2.94171825014178,4.14380124116701,5.34588423219223
"4",0.002,3.23180532519212,4.02255991667061,4.81331450814911
"5",0.0024,2.82238492421385,3.86207336597287,4.90176180773189
"6",0.0027,2.31878772903599,3.71071882846853,5.10264992790107
"7",0.003,2.40668335893592,3.32470573635768,4.24272811377944
"8",0.0034,2.57294022715286,3.19894349526836,3.82494676338385
"9",0.0037,2.39459160354271,3.09399598524097,3.79340036693922
"10",0.0041,1.81442801619609,2.93693646489162,4.05944491358715
"11",0.0044,0.401318432992195,2.64697500270717,4.89263157242214
"12",0.0047,0.227380964329735,2.174366053065,4.12135114180026
"13",0.0051,0.420424058886341,1.85924124713012,3.2980584353739
"14",0.0054,0.103163872366501,1.62975665195142,3.15634943153633
