"","risk","CI_lower","thresh_est","CI_upper"
"1",0.003,2.36398313589705,3.34303009187557,4.3220770478541
"2",0.0034,1.54043709694464,3.23606111631396,4.93168513568327
"3",0.0037,2.13068479073568,2.71777548790902,3.30486618508237
"4",0.004,2.22736495420046,2.6752441439945,3.12312333378854
"5",0.0044,2.09928593991749,2.5481778265849,2.99706971325231
"6",0.0047,2.15904102205407,2.50050442772096,2.84196783338785
"7",0.005,2.06440633993761,2.45283102885702,2.84125571777643
"8",0.0053,2.09015253726229,2.38995363778205,2.68975473830182
"9",0.0057,2.12307568933068,2.34606948076152,2.56906327219236
"10",0.006,2.09186588527096,2.31600817744628,2.54015046962159
"11",0.0063,2.04371361588309,2.28273793504102,2.52176225419896
"12",0.0067,1.89144675578195,2.23726708554889,2.58308741531582
"13",0.007,1.09607641228038,2.15972578610822,3.22337515993605
"14",0.0073,-4.22357836015083,1.26502352205455,6.75362540425993
