"","risk","CI_lower","thresh_est","CI_upper"
"1",0.001,5.97935577970268,6.42625944349319,6.87316310728371
"2",0.0016,5.9392020044012,6.05429661093198,6.16939121746276
"3",0.0022,5.91770926972063,5.99093016528939,6.06415106085816
"4",0.0028,5.86155665068672,5.95009913332756,6.0386416159684
"5",0.0034,5.79609997324208,5.90926810136573,6.02243622948937
"6",0.004,5.66520023251742,5.8369746077898,6.00874898306218
"7",0.0046,5.48425776546545,5.76422753799565,6.04419731052585
"8",0.0052,5.04883712253628,5.56873624835324,6.08863537417021
"9",0.0057,5.02747897596456,5.43331174204566,5.83914450812676
"10",0.0063,4.85379581490061,5.29630730178304,5.73881878866546
"11",0.0069,4.67907464869467,5.14925216478385,5.61942968087303
"12",0.0075,4.44561684723908,4.9946786314045,5.54374041556992
"13",0.0081,4.26882046999625,4.83209990559671,5.39537934119718
"14",0.0087,4.01675793432241,4.66952117978893,5.32228442525545
"15",0.0093,3.85417920851462,4.50694245398114,5.15970569944766
