"","risk","CI_lower","thresh_est","CI_upper"
"1",0.003,2.06083495937396,3.34303009187557,4.62522522437718
"2",0.0034,1.01541086975332,3.23606111631396,5.4567113628746
"3",0.0037,1.94890037966635,2.71777548790902,3.4866505961517
"4",0.004,2.08868543647192,2.6752441439945,3.26180285151709
"5",0.0044,1.96029285478683,2.5481778265849,3.13606279838297
"6",0.0047,2.05331166132712,2.50050442772096,2.94769719411481
"7",0.005,1.94413607563269,2.45283102885702,2.96152598208136
"8",0.0053,1.99732332576513,2.38995363778205,2.78258394979898
"9",0.0057,2.05402878526195,2.34606948076152,2.63811017626109
"10",0.006,2.02246336403362,2.31600817744628,2.60955299085893
"11",0.0063,1.96970308344138,2.28273793504102,2.59577278664067
"12",0.0067,1.78436833453434,2.23726708554889,2.69016583656343
"13",0.007,0.76673228208638,2.15972578610822,3.55271929013005
"14",0.0073,-5.92304705477414,1.26502352205455,8.45309409888324
