"","risk","CI_lower","thresh_est","CI_upper"
"1",0.0014,4.84361647909184,4.84361696551429,4.84361745193675
"2",0.002,3.66303276710244,4.68851211455299,5.71399146200355
"3",0.0026,3.48934419566068,4.47029145401378,5.45123871236689
"4",0.0032,3.18820622943312,4.21484377506042,5.24148132068772
"5",0.0038,3.0800323432147,3.98714984307524,4.89426734293578
"6",0.0044,3.0014269913987,3.73225162173152,4.46307625206434
"7",0.005,2.78994050917556,3.59075538169464,4.39157025421373
"8",0.0056,2.90023169414056,3.3649372546054,3.82964281507025
"9",0.0062,2.88986076138531,3.29813742074351,3.70641408010171
"10",0.0068,2.51546436840378,3.18576631434708,3.85606826029039
"11",0.0074,1.86818953420153,3.02300098452969,4.17781243485786
"12",0.008,0.438148063393637,2.67265749048932,4.907166917585
"13",0.0086,0.313423386179989,2.11169253642139,3.9099616866628
"14",0.0092,0.488434394195479,1.86147548052438,3.23451656685328
