"","risk","CI_lower","thresh_est","CI_upper"
"1",0.0038,4.09259831422164,4.27046161997615,4.44832492573066
"2",0.0042,4.02493139891406,4.23475341899802,4.44457543908198
"3",0.0046,3.90357396150004,4.19076230961602,4.47795065773199
"4",0.0049,3.74787380838808,4.138449060093,4.52902431179791
"5",0.0053,3.7167711600303,4.06346618356816,4.41016120710602
"6",0.0057,3.73951719034001,4.00953533110967,4.27955347187933
"7",0.0061,3.58275552021262,3.96487041222317,4.34698530423372
"8",0.0065,2.93029335419008,3.8293019385527,4.72831052291533
"9",0.0069,2.3188111601559,3.64040968117416,4.96200820219243
"10",0.0073,1.68858090719321,3.34580239403008,5.00302388086696
