"","risk","CI_lower","thresh_est","CI_upper"
"1",0.0011,4.5940440607472,5.02745611322683,5.46086816570645
"2",0.0018,4.38087716690784,4.85155817339027,5.32223917987269
"3",0.0024,3.12164213751954,4.56200252957184,6.00236292162414
"4",0.003,2.21431722613355,3.93345801545627,5.65259880477899
"5",0.0036,3.02735293405649,3.37254148805797,3.71773004205946
"6",0.0043,3.02900821264857,3.29343034443333,3.5578524762181
"7",0.0049,2.76520705221213,3.19337611333982,3.62154517446751
"8",0.0055,2.54086116923893,3.06164799692903,3.58243482461914
"9",0.0062,2.58997204010068,2.90742737221251,3.22488270432434
"10",0.0068,2.50413188883334,2.85303585632451,3.20193982381568
"11",0.0074,2.06133255663133,2.73435333722009,3.40737411780886
"12",0.008,1.40860972921827,2.56796177528436,3.72731382135045
"13",0.0087,0.991141142066008,2.07033233272744,3.14952352338888
"14",0.0093,0.731056839561264,1.92372157005684,3.11638630055241
"15",0.0099,-1.45144044598257,1.38672315666521,4.22488675931299
