"thresholds","EWE[Y|>=v,W]","se","CI_left","CI_right","CI_left_simultaneous","CI_right_simultaneous"
0.944144,0.0094977757953278,0.00122894594202834,0.00708904174895225,0.0119065098417033,0.00604359892473886,0.0129519526659167
1.55086220689655,0.00898772093048172,0.00120222200642603,0.0066313657978867,0.0113440760630767,0.00560865655841021,0.0123667853025532
1.84169820689655,0.00843245341451305,0.00119373479238378,0.00609273322144085,0.0107721736075852,0.00507724390654736,0.0117876629224787
2.06096620689655,0.00818459535337999,0.0011929072661681,0.00584649711169051,0.0105226935950695,0.00483171175887903,0.011537478947881
2.23422027586207,0.00792623585558297,0.00117630469339238,0.00562067865653391,0.010231793054632,0.00462001682207932,0.0112324548890866
2.39914648275862,0.00794327798969232,0.00122032936016542,0.0055514324437681,0.0103351235356165,0.00451331959508071,0.0113732363843039
2.52016137931034,0.0076398232895774,0.00118165503749338,0.00532377941609038,0.00995586716306442,0.00431856613746224,0.0109610804416926
2.64238331034483,0.00743387448190041,0.00117172522039374,0.00513729304992869,0.00973045591387214,0.00414052689307991,0.0107272220707209
2.72055724137931,0.0069035015977519,0.00113829424452095,0.00467244487849085,0.00913455831701295,0.00370411786826147,0.0101028853272423
2.83938124137931,0.00664280485810284,0.00109010530344255,0.00450619846335545,0.00877941125285023,0.00357886494269625,0.00970674477350943
2.92442813793103,0.00627417239826393,0.00106507832990224,0.00418661887165553,0.00836172592487232,0.00328057535977923,0.00926776943674862
3.01701875862069,0.0062134421548725,0.00109409158354842,0.00406902265111759,0.0083578616586274,0.00313829807167422,0.00928858623807077
3.10289848275862,0.00595542951402948,0.00108212698640932,0.00383446062066722,0.00807639840739174,0.00291391411480374,0.00899694491325521
3.18464689655172,0.00634833776254292,0.00116113564390706,0.00407251190048508,0.00862416362460076,0.00308475411119003,0.00961192141389581
3.26594868965517,0.00698234902768572,0.00124460163183706,0.00454292982928508,0.00942176822608636,0.00348416898349815,0.0104805290718733
3.35947517241379,0.00694950851125713,0.00125441227651501,0.00449086044928771,0.00940815657322656,0.00342375385961677,0.0104752631628975
3.4731,0.0059210165116177,0.00116459721211188,0.00363840597587841,0.00820362704735699,0.00264770349103859,0.00919432953219681
3.53490896551724,0.006626440103133,0.00126946459667196,0.00413828949365596,0.00911459071261005,0.00305837815842405,0.010194502047842
3.63405172413793,0.00656390541057365,0.00132913227639084,0.0039588061488476,0.0091690046722997,0.00282813656179495,0.0102996742593524
3.73207944827586,0.00548098245536208,0.00122559134594774,0.00307882341730451,0.00788314149341965,0.00203623428932026,0.00892573062140389
3.81733531034483,0.00513264159296346,0.00121317507024106,0.00275481845529099,0.00751046473063593,0.00172279163594628,0.00854249154998064
3.92372427586207,0.00439780399054663,0.00114615675135694,0.00215133675788702,0.00664427122320623,0.00117632125057172,0.00761928673052154
4.03607627586207,0.00337396764596133,0.00106310039762096,0.00129029086662425,0.00545764442529841,0.000385929947154609,0.00636200534476806
4.14966206896552,0.00223772186287923,0.000859254985845743,0.000553582090621576,0.00392186163513689,0,0.00465281482713766
4.25060110344828,0.00203771054230708,0.000808382581258075,0.000453280683041254,0.00362214040157291,0,0.00430981732851773
4.37456248275862,0.001231133255987,0.000670011187056184,0,0.00254435518261713,0,0.00311432198400019
4.5489924137931,1.52924726070814e-09,NA,1.13191177400876e-09,1,9.59459554138226e-10,1
4.76519186206897,1.94331150105894e-09,NA,1.4068077535718e-09,1,1.17395348980697e-09,1
5.08308965517241,3.35272290463744e-09,NA,2.2629598639082e-09,1,1.78997906607473e-09,1
5.510228,1.39952136636218e-08,NA,1.48418282291291e-09,1,0,1
