"","risk","CI_lower","thresh_est","CI_upper"
"1",0.001,3.15778656790251,5.590455224999,8.02312388209549
"2",0.0015,3.83687760701542,5.22006981145776,6.60326201590011
"3",0.0019,4.38721521675067,4.95492015609784,5.52262509544502
"4",0.0024,4.47455978441403,4.78059066047228,5.08662153653053
"5",0.0028,4.41069898951809,4.72154822643064,5.03239746334318
"6",0.0033,4.01280124104673,4.56981494263728,5.12682864422784
"7",0.0037,3.78426078014811,4.39995530146527,5.01564982278243
"8",0.0042,3.88940442190211,4.20078107999475,4.51215773808739
"9",0.0046,3.93803059029782,4.14029692939346,4.3425632684891
"10",0.0051,3.88714674328187,4.08087288516079,4.27459902703971
"11",0.0055,3.75857885795983,4.03333364977465,4.30808844158948
"12",0.006,3.31174932475129,3.88845872292004,4.46516812108879
"13",0.0064,2.9155001025613,3.71806393620086,4.52062776984042
"14",0.0069,2.5305249931953,3.4522840375003,4.3740430818053
"15",0.0073,2.24799929152227,3.23014312881826,4.21228696611425
