"thresholds","EWE[Y|>=v,W]","se","CI_left","CI_right","CI_left_simultaneous","CI_right_simultaneous"
2.804306,0.00758584329458631,0.000923740939520685,0.00577531105312577,0.00939637553604685,0.00508934444677223,0.0100823421424004
3.43821585714286,0.00726184377337734,0.000943358507592829,0.00541286109849539,0.00911082644825928,0.00471232655862325,0.00981136098813143
3.73600914285714,0.00681728921874234,0.000962057951562263,0.00493165563368031,0.00870292280380438,0.00421723495585366,0.00941734348163103
3.97517357142857,0.00591870733668826,0.00093066477077374,0.00409460438597173,0.00774281028740479,0.00340349616812907,0.00843391850524746
4.13256771428571,0.00505853598273707,0.000898168395064342,0.00329812592841096,0.00681894603706317,0.00263114939902169,0.00748592256645244
4.24404528571429,0.00398873341929868,0.000843548184825316,0.00233537897704106,0.0056420878615563,0.00170896321382875,0.00626850362476861
4.37830171428571,0.00355237727393339,0.000848802196607804,0.00188872496858209,0.00521602957928468,0.00125840759564569,0.00584634695222108
4.49873,0.00396269451161705,0.00100548593546065,0.00199194207811418,0.00593344694511991,0.00124527194001027,0.00668011708322382
4.62680428571429,0.00333544853637937,0.00100204088010089,0.00137144841138163,0.00529944866137712,0.000627336558650516,0.00604356051410823
4.76269571428571,0.00226116483108183,0.000888767315816245,0.000519180892081989,0.00400314877008167,0,0.00466314409277978
4.93243085714286,0.00291977074422235,0.00115423265758137,0.000657474735362868,0.00518206675308183,0,0.00603919565707341
5.08942685714286,0.0028458058611284,0.00132086012993716,0.000256920006451554,0.00543469171580524,0,0.00641555756469879
5.26910942857143,0.00242153798950609,0.0014470006020546,0,0.00525765916953311,0,0.00633219646664366
5.55035357142857,0.00428332997188672,0.00271847747232314,0,0.00961154581764007,0,0.0116302771375983
5.997648,0.00621575964181652,0.00685344391374061,0,0.0196485097127481,0,0.024737851823949
