"","risk","CI_lower","thresh_est","CI_upper"
"1",0.0024,-0.345478954726988,2.88025190253969,6.10598275980636
"2",0.0028,1.09909382257734,2.53979947457329,3.98050512656924
"3",0.0032,1.70304201643023,2.39756572512441,3.09208943381859
"4",0.0035,1.61976869605065,2.33438678377356,3.04900487149647
"5",0.0039,1.24684619716447,2.18308713462186,3.11932807207925
"6",0.0043,0.829546144928738,2.0370654545453,3.24458476416186
"7",0.0047,1.12800063598541,1.74070435462577,2.35340807326613
"8",0.005,1.1358463193193,1.69139491392856,2.24694350853783
"9",0.0054,0.665437351989602,1.52173860787509,2.37803986376059
"10",0.0058,0.796340087725709,1.38705119709993,1.97776230647415
"11",0.0062,0.916370767387914,1.30529445195058,1.69421813651325
"12",0.0065,0.82120569318197,1.26273602764368,1.70426636210539
"13",0.0069,0.294644640422566,1.16241467351621,2.03018470660986
"14",0.0073,-0.565787163731271,0.916745575890789,2.39927831551285
