"","risk","CI_lower","thresh_est","CI_upper"
"1",0.001,2.27439692332204,5.590455224999,8.90651352667596
"2",0.0015,3.33459067767782,5.22006981145776,7.10554894523771
"3",0.0019,4.18106109743257,4.95492015609784,5.72877921476312
"4",0.0024,4.36342894625278,4.78059066047228,5.19775237469179
"5",0.0028,4.29781843091295,4.72154822643064,5.14527802194833
"6",0.0033,3.81052949539032,4.56981494263728,5.32910038988424
"7",0.0037,3.560679914431,4.39995530146527,5.23923068849953
"8",0.0042,3.77633233766215,4.20078107999475,4.62522982232734
"9",0.0046,3.86458039440572,4.14029692939346,4.4160134643812
"10",0.0051,3.81679780072402,4.08087288516079,4.34494796959756
"11",0.0055,3.65880549294358,4.03333364977465,4.40786180660573
"12",0.006,3.1023253619817,3.88845872292004,4.67459208385838
"13",0.0064,2.62406025616719,3.71806393620086,4.81206761623454
"14",0.0069,2.19580107090442,3.4522840375003,4.70876700409618
"15",0.0073,1.89134747507994,3.23014312881826,4.56893878255659
