"thresholds","EWE[Y|>=v,W]","se","CI_left","CI_right","CI_left_simultaneous","CI_right_simultaneous"
4.50528,0.00982110562417348,0.00124149740231567,0.00738777071563477,0.0122544405327122,0.00625170053362356,0.0133905107147234
4.92196282352941,0.00842863717804879,0.00115415281974149,0.00616649765135547,0.0106907767047421,0.00511035480196506,0.0117469195541325
5.20092141176471,0.00694431613484949,0.000987619396957438,0.00500858211681291,0.00888005015288607,0.00410483077108601,0.00978380149861297
5.34713235294118,0.00674669781097975,0.00100439782392913,0.00477807807607865,0.00871531754588084,0.0038589731174098,0.0096344225045497
5.50680776470588,0.00567533779756248,0.00089418708518238,0.00392273111060501,0.00742794448451994,0.00310447786036026,0.0082461977347647
5.65423,0.00566161304769221,0.000916950605318114,0.00386438986126871,0.00745883623411572,0.00302530615546634,0.00829791993991808
5.76260141176471,0.00492212468263833,0.000816524049546662,0.00332173754552687,0.00652251181974979,0.00257455223216675,0.00726969713310991
5.82861141176471,0.0041551636316427,0.000757697600497304,0.00267007633466798,0.00564025092861741,0.00197672196332508,0.00633360529996032
5.8933505882353,0.00372443901533387,0.000699741660057764,0.00235294536162065,0.00509593266904709,0.00171262534675805,0.00573625268390969
5.97271764705882,0.0022947459550178,0.000489627188066461,0.00133507666640754,0.00325441524362806,0.000887028327662108,0.00370246358237349
6.04705011764706,0.00159222255407225,0.000375986450731792,0.000855289110637934,0.00232915599750656,0.000511231205466411,0.00267321390267808
6.12155011764706,0.00118875172611519,0.000312222602311834,0.000576795425583992,0.00180070802664638,0.000291086580785113,0.00208641687144526
6.22093576470588,0.000843570538978075,0.000266129815205802,0.000321956101174704,0.00136518497678145,7.84258714412152e-05,0.00160871520651494
6.29242352941176,0.000851099769287008,0.00026808086409843,0.000325661275654085,0.00137653826291993,8.03456789384121e-05,0.0016218538596356
6.35694752941176,0.000801450758988934,0.000285123378845884,0.000242608936451001,0.00136029258152687,0,0.00162120345278355
6.43245764705882,0.000934052091817804,0.000288983936270146,0.000367643576728317,0.00150046060690729,0.000103199984285532,0.00176490419935008
6.50711223529412,0.000588174868884509,0.000229904224256382,0.000137562589342,0.00103878714842702,0,0.00124916804282835
6.577778,0.00025375107239059,0.000149395723952393,0,0.000546566691337281,0,0.000683275819351337
6.63614352941176,0.000276531576116044,0.000158569176558144,0,0.000587327162170006,0,0.000732430738655761
6.68860470588235,0.00028358080972416,0.000162967017207979,0,0.000602996163451799,0,0.00075212411857757
6.75631341176471,0.000325665270960553,0.000158736728330445,1.45412834328798e-05,0.000636789258488226,0,0.000782046158349527
6.82066576470588,0.000352631174027977,0.00016685377119694,2.55977824819751e-05,0.000679664565573979,0,0.000832349213853868
6.88089858823529,1.87557809903269e-10,NA,1.55327235200986e-10,1,1.40279493626302e-10,1
6.96058235294118,1.90876413538157e-10,NA,1.62604991125195e-10,1,1.49405690078017e-10,1
7.02161905882353,3.53543243413736e-10,NA,2.8893887881327e-10,1,2.5877653166047e-10,1
7.06905647058823,6.00032236031484e-10,NA,4.79586148397688e-10,1,4.23352537388985e-10,1
7.14439482352941,2.72180661355971e-10,NA,2.20054889996408e-10,1,1.95718521686344e-10,1
7.23119458823529,7.90551237993359e-10,NA,6.24082376086241e-10,1,5.46361750954704e-10,1
7.29181764705882,1.38482380597055e-09,NA,9.82740554357695e-10,1,7.95016788409753e-10,1
7.369236,1.24845822203547e-09,NA,9.01341705420569e-10,1,7.39280690791635e-10,1
7.46464094117647,2.76062394179492e-09,NA,1.61148797393454e-09,1,1.07498183843231e-09,1
7.56852694117647,4.62163084053393e-09,NA,2.39585290716528e-09,1,1.35668648046194e-09,1
7.6962,3.99196104038208e-09,NA,1.94217955902159e-09,1,9.85181978277198e-10,1
7.85601823529412,1.2119697162534e-09,NA,6.81365577148786e-10,1,4.33638254956841e-10,1
8.130696,4.95942393466784e-09,NA,1.51079724183893e-09,1,0,1
