"","risk","CI_lower","thresh_est","CI_upper"
"1",0.001,3.76936279828039,4.60674254398707,5.44412228969375
"2",0.0013,3.57095938278608,4.40833912849276,5.24571887419943
"3",0.0017,3.25340440535099,4.14380124116701,5.03419807698302
"4",0.002,3.43683880472065,4.02255991667061,4.60828102862058
"5",0.0024,3.09196405930413,3.86207336597287,4.6321826726416
"6",0.0027,2.67969929332678,3.71071882846853,4.74173836361029
"7",0.003,2.64471589691449,3.32470573635768,4.00469557580087
"8",0.0034,2.73525560241735,3.19894349526836,3.66263138811936
"9",0.0037,2.57593903487279,3.09399598524097,3.61205293560914
"10",0.0041,2.10548141698115,2.93693646489162,3.76839151280209
"11",0.0044,0.983591094164953,2.64697500270717,4.31035891124938
"12",0.0047,0.73221158009279,2.174366053065,3.6165205260372
"13",0.0051,0.793492641339331,1.85924124713012,2.92498985292091
"14",0.0054,0.498991645982326,1.62975665195142,2.76052165792051
