"","Learner","Screen","AUCstr"
"1","SL.glm","univar_logistic_pval","0.859 [0.823, 0.888]*"
"2","SL","All","0.858 [0.824, 0.887]"
"3","Discrete SL","All","0.858 [0.823, 0.888]"
"4","SL.glm","glmnet","0.858 [0.823, 0.887]"
"5","SL.glm","all","0.858 [0.823, 0.887]"
"6","SL.glm","highcor_random","0.858 [0.823, 0.887]"
"7","SL.mean","all","0.500 [0.411, 0.589]"
